Frame Number,Total Vehicles,Total Riders,Triple Riding Violations
0,1,1,0
30,1,0,0
60,0,1,0
90,0,1,0
120,0,0,0
150,0,2,0
180,0,0,0
210,0,1,0
240,1,4,0
270,0,4,0
300,0,0,0
330,1,1,0
360,0,3,0
390,1,0,0
420,0,0,0
450,1,0,0
480,0,0,0
510,0,0,0
540,0,0,0
570,0,3,0
600,0,0,0
630,0,1,0
660,0,1,0
690,0,0,0
720,0,1,0
750,0,0,0
780,0,0,0
810,0,0,0
840,0,0,0
870,0,0,0
900,0,0,0
930,0,2,0
960,0,2,0
990,2,1,0
1020,0,1,0
1050,0,0,0
1080,0,0,0
1110,1,2,0
1140,1,1,0
1170,1,0,0
1200,1,1,0
1230,1,0,0
1260,0,0,0
